sample,domain,level,metric,estimate,se,ci_low,ci_high,unweighted_n,weighted_n
Adults 20+,education_adult,College graduate or above,Weekday minus weekend MIMS-units,84.29772022473192,94.54451169506748,-101.00952269760036,269.6049631470642,1758,45718799.3841025
Adults 20+,education_adult,College graduate or above,Percent difference from weekday,-0.6226930909205345,0.6915552920443928,-1.9781414633275443,0.7327552814864754,1758,45718799.3841025
Adults 20+,education_adult,9-11th grade,Weekday MIMS-units,14718.627387185557,189.98293058343788,14346.260843242018,15090.993931129096,867,14806988.1276415
Adults 20+,education_adult,9-11th grade,Weekend-day MIMS-units,13808.11346056082,200.68744979765344,13414.766058957419,14201.460862164222,867,14806988.1276415
Adults 20+,education_adult,9-11th grade,Weekday minus weekend MIMS-units,910.5139266247355,166.02239531443487,585.1100318084432,1235.9178214410279,867,14806988.1276415
Adults 20+,education_adult,9-11th grade,Percent difference from weekday,4.065098601777869,1.117730467318545,1.8743468858335208,6.255850317722217,867,14806988.1276415
Adults 20+,education_adult,Less than 9th grade,Weekday MIMS-units,15520.715064180828,307.03699203509063,14918.92255979205,16122.507568569605,535,6824171.7378765
Adults 20+,education_adult,Less than 9th grade,Weekend-day MIMS-units,13495.661107785785,234.2718207940678,13036.488339029413,13954.833876542158,535,6824171.7378765
Adults 20+,education_adult,Less than 9th grade,Weekday minus weekend MIMS-units,2025.0539563950435,202.34100474162062,1628.465587101467,2421.64232568862,535,6824171.7378765
Adults 20+,education_adult,Less than 9th grade,Percent difference from weekday,9.856440857460726,0.9976428890143044,7.901060794992689,11.811820919928762,535,6824171.7378765
Adults 20+,marital_status_adult,Never married,Weekday MIMS-units,14277.433371116762,120.10061643315788,14042.036162907772,14512.830579325751,1282,25381347.221269004
Adults 20+,marital_status_adult,Never married,Weekend-day MIMS-units,13466.343533545665,148.3491763675357,13175.579147865295,13757.107919226035,1282,25381347.221269004
Adults 20+,marital_status_adult,Never married,Weekday minus weekend MIMS-units,811.0898375710988,157.31703385315697,502.7484512189111,1119.4312239232863,1282,25381347.221269004
Adults 20+,marital_status_adult,Never married,Percent difference from weekday,3.056562695695338,1.191531321132939,0.7211613062747775,5.391964085115898,1282,25381347.221269004
Adults 20+,marital_status_adult,Married,Weekday MIMS-units,13813.143464670911,94.93611053266272,13627.068688026893,13999.21824131493,3481,81552296.8306395
Adults 20+,marital_status_adult,Married,Weekend-day MIMS-units,13254.000571993249,104.4001685822821,13049.376241571976,13458.624902414522,3481,81552296.8306395
Adults 20+,marital_status_adult,Married,Weekday minus weekend MIMS-units,559.1428926776654,91.31275468477688,380.1698934955027,738.115891859828,3481,81552296.8306395
Adults 20+,marital_status_adult,Married,Percent difference from weekday,2.432454694164006,0.6289754120924108,1.199662886462881,3.6652465018651315,3481,81552296.8306395
Adults 20+,marital_status_adult,Widowed,Weekday MIMS-units,11687.504331788965,233.483005233698,11229.877641530917,12145.131022047013,459,7375702.989172
Adults 20+,marital_status_adult,Widowed,Weekend-day MIMS-units,11458.267710374059,281.1669883522196,10907.180413203709,12009.35500754441,459,7375702.989172
Adults 20+,marital_status_adult,Widowed,Weekday minus weekend MIMS-units,229.23662141490473,144.5052598797731,-53.99368794945053,512.46693077926,459,7375702.989172
Adults 20+,marital_status_adult,Widowed,Percent difference from weekday,1.3748866521128345,1.2155583565429027,-1.0076077267112549,3.7573810309369238,459,7375702.989172
Adults 20+,marital_status_adult,Living with partner,Weekday MIMS-units,15318.824842027838,212.48920979141357,14902.345990836668,15735.303693219008,475,9921676.826625999
Adults 20+,marital_status_adult,Living with partner,Weekend-day MIMS-units,14591.511108759016,242.82414779488644,14115.575779081038,15067.446438436993,475,9921676.826625999
Adults 20+,marital_status_adult,Living with partner,Weekday minus weekend MIMS-units,727.3137332688239,106.75327131887613,518.0773214838266,936.5501450538211,475,9921676.826625999
Adults 20+,marital_status_adult,Living with partner,Percent difference from weekday,3.028489579457123,0.722395745563196,1.6125939181532591,4.444385240760987,475,9921676.826625999
